epoch,test_accuracy
1,28.0100
2,40.0300
3,51.2600
4,58.2700
5,66.4200
6,69.0500
7,70.8200
8,72.4800
9,73.6200
10,73.3200
11,75.1500
12,75.0200
13,75.4400
14,76.9200
15,75.7300
16,74.0600
17,76.6900
18,75.6500
19,75.3500
20,75.8600
21,77.2500
22,76.8600
23,76.3900
24,77.2000
25,76.9300
26,77.1200
27,76.8400
28,76.8100
29,77.0500
30,76.6300
31,75.8000
32,76.1000
33,76.6600
34,76.7800
35,76.2800
36,75.9300
37,75.7800
38,76.8900
39,77.5000
40,77.8800
41,76.5000
42,76.8000
43,75.7500
44,77.2200
45,77.3000
46,76.7300
47,78.1700
48,78.0100
49,77.5300
50,76.7300
51,77.1100
52,76.6300
53,77.1800
54,77.9200
55,76.5100
56,77.3400
57,77.1400
58,76.7800
59,76.5000
60,77.0700
61,76.7700
62,77.3600
63,77.0800
64,77.5300
65,78.1100
66,77.4400
67,77.6600
68,78.0300
69,77.7000
70,77.7100
71,77.5300
72,78.0200
73,77.8600
74,76.8100
75,77.8300
76,77.5500
77,77.3900
78,77.6100
79,78.5600
80,77.8800
81,77.2700
82,78.8600
83,78.7600
84,71.1100
85,78.0300
86,79.2300
87,76.7000
88,74.0200
89,77.6500
90,76.6100
91,78.3700
92,77.4100
93,78.2900
94,78.6500
95,77.5100
96,77.9700
97,77.5400
98,76.5300
99,77.8900
100,78.4600
